Iteration,Case_ID,Target_IP,Category,Expected_Verdict,Model,Model,Verdict,SR,Latency,Tokens
1,1,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.4994,97
1,2,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0551,140
1,3,172.16.0.1,DoS GoldenEye,Malicious,Llama-PcapLog,Default,Malicious,1,2.152,144
1,4,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.104,143
1,5,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2104,109
1,6,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1107,141
1,7,192.168.10.14,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.992,66
1,8,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.4091,145
1,9,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0819,110
1,10,192.168.10.19,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9774,67
1,11,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1588,140
1,12,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9971,141
1,13,104.155.59.61,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0143,64
1,14,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0357,141
1,15,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0761,111
1,16,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1005,142
1,17,23.194.180.56,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0657,64
1,18,192.168.10.5,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.0949,139
1,19,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3406,88
1,20,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1145,140
1,21,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.4091,140
1,22,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1247,111
1,23,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9858,141
1,24,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1521,143
1,25,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1108,141
1,26,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.8198,154
1,27,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9696,91
1,28,72.5.205.44,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1679,64
1,29,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.4415,140
1,30,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0272,143
1,31,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0104,151
1,32,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0765,88
1,33,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.945,126
1,34,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9091,141
1,35,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.5432,87
1,36,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2689,87
1,37,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9353,141
1,38,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8079,141
1,39,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1659,90
1,40,172.16.0.1,DoS Slowhttptest,Malicious,Llama-PcapLog,Default,Malicious,1,1.9982,141
1,41,192.168.10.50,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.0098,141
1,42,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.9672,150
1,43,205.174.165.73,Bot,Malicious,Llama-PcapLog,Default,Benign,0,1.9151,64
1,44,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1712,141
1,45,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2667,142
1,46,192.168.10.8,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2411,99
1,47,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0494,147
1,48,192.168.10.12,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1109,116
1,49,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0359,141
1,50,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.103,141
1,51,192.168.10.16,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0693,80
1,52,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.049,141
1,53,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.263,141
1,54,172.16.0.1,SSH-Patator,Malicious,Llama-PcapLog,Default,Malicious,1,2.2113,141
1,55,192.168.10.25,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1038,99
1,56,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.2661,141
1,57,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2164,89
1,58,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.9731,142
1,59,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.914,142
1,60,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0073,140
1,61,192.168.10.16,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8989,80
1,62,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1249,141
1,63,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0769,141
1,64,69.16.175.10,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0126,64
1,65,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0209,143
1,66,172.16.0.1,DoS Slowhttptest,Malicious,Llama-PcapLog,Default,Malicious,1,2.3281,142
1,67,54.70.122.167,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1142,64
1,68,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8392,140
1,69,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1493,85
1,70,192.168.10.17,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3556,64
1,71,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1415,91
1,72,192.168.10.14,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2483,64
1,73,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.3339,141
1,74,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.0258,142
1,75,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.164,142
1,76,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,1.8284,144
1,77,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2595,125
1,78,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.1066,140
1,79,192.168.10.50,BENIGN,Benign,Llama-PcapLog,Default,Malicious,0,2.1404,142
1,80,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0669,141
1,81,192.168.10.15,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.3292,91
1,82,192.168.10.3,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.9178,89
1,83,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.0705,143
1,84,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.3,142
1,85,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.2634,142
1,86,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1118,81
1,87,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.0421,142
1,88,192.168.10.51,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,1.8351,127
1,89,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.0599,140
1,90,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,1.9309,142
1,91,23.61.187.27,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.0992,64
1,92,192.168.10.9,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.1323,83
1,93,52.84.40.212,BENIGN,Benign,Llama-PcapLog,Default,Benign,1,2.2025,64
1,94,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1077,140
1,95,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,2.1084,144
1,96,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.5482,155
1,97,172.16.0.1,DoS slowloris,Malicious,Llama-PcapLog,Default,Malicious,1,2.2653,140
1,98,172.16.0.1,DDoS,Malicious,Llama-PcapLog,Default,Malicious,1,2.0362,146
1,99,172.16.0.1,DoS Hulk,Malicious,Llama-PcapLog,Default,Malicious,1,2.3761,142
1,100,172.16.0.1,PortScan,Malicious,Llama-PcapLog,Default,Malicious,1,1.8917,144
